                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2046,                  3.214,                 1.2528,                0.61921,                 0.0936,                0.31342,                0.19372,                  1.028,                 3.5005,                 1.0645,             0.00046699,             0.00046699,             0.00046699
                      1,                 1.0518,                 2.2114,                 1.0902,                0.58117,                0.49161,                 0.4989,                0.31351,                 1.1632,                 2.8067,                 1.2804,             0.00094019,             0.00094019,             0.00094019
                      2,                 1.0229,                 2.0064,                  1.101,                0.54297,                0.39892,                0.45679,                0.28333,                 1.2471,                 2.3828,                 1.4399,              0.0014102,              0.0014102,              0.0014102
                      3,                 1.0945,                 1.8673,                 1.1177,                0.40427,                0.63916,                 0.4942,                0.31584,                  1.098,                 2.3057,                 1.2159,              0.0014147,              0.0014147,              0.0014147
                      4,                 1.0254,                 1.6715,                 1.1018,                 0.4924,                0.55673,                0.49368,                0.31079,                 1.0084,                 3.0769,                 1.1751,              0.0014147,              0.0014147,              0.0014147
                      5,                 1.0218,                 1.4807,                 1.0803,                0.77134,                0.63954,                0.69089,                 0.5226,                 1.0618,                 1.6264,                 1.1023,                0.00141,                0.00141,                0.00141
                      6,                0.99744,                 1.4001,                 1.0756,                0.60859,                0.73726,                0.71298,                0.48547,                0.84983,                 1.2522,                0.99427,              0.0014052,              0.0014052,              0.0014052
                      7,                0.91458,                 1.3267,                 1.0325,                0.59325,                0.70353,                0.60949,                0.41323,                0.88449,                 1.1893,                 1.1556,              0.0014004,              0.0014004,              0.0014004
                      8,                0.91074,                 1.2374,                 1.0272,                0.48568,                0.71317,                 0.6004,                0.45218,                0.84812,                 1.0847,                 1.0141,              0.0013957,              0.0013957,              0.0013957
                      9,                0.87492,                 1.1605,                 1.0245,                0.77405,                0.56321,                0.70345,                0.54306,                0.75822,                 1.0502,                0.95504,              0.0013909,              0.0013909,              0.0013909
                     10,                0.85648,                  1.128,                 1.0151,                0.64393,                0.74726,                0.78009,                0.61997,                0.73508,                 0.8016,                0.95395,              0.0013862,              0.0013862,              0.0013862
                     11,                0.82143,                 1.1042,                0.99781,                0.49768,                0.90431,                0.68323,                0.54003,                0.81624,                0.91587,                0.98926,              0.0013814,              0.0013814,              0.0013814
                     12,                 0.8416,                 1.0845,                 1.0092,                 0.7295,                0.78474,                 0.8013,                0.63092,                0.77278,                0.83705,                0.95416,              0.0013767,              0.0013767,              0.0013767
                     13,                0.80103,                 1.0075,                0.98623,                0.70607,                0.79737,                0.76799,                0.62913,                0.72071,                0.75847,                0.95753,              0.0013719,              0.0013719,              0.0013719
                     14,                0.82918,                  1.025,                 0.9889,                0.74923,                0.64898,                0.69872,                0.56653,                0.78249,                0.92458,                0.96237,              0.0013671,              0.0013671,              0.0013671
                     15,                0.80207,                0.98754,                0.98245,                0.89288,                0.65484,                0.79663,                0.65165,                0.79071,                0.90327,                 0.9412,              0.0013624,              0.0013624,              0.0013624
                     16,                  0.781,                0.99236,                0.98159,                0.70313,                0.75469,                0.75622,                0.58317,                0.68101,                0.83045,                0.93845,              0.0013576,              0.0013576,              0.0013576
                     17,                0.76346,                0.92655,                0.96666,                0.73156,                0.71287,                0.81887,                0.71611,                0.61348,                0.70957,                0.90072,              0.0013529,              0.0013529,              0.0013529
                     18,                0.71176,                0.91281,                0.96764,                0.60223,                0.89409,                0.77663,                0.63836,                 0.6815,                 0.7216,                 0.9102,              0.0013481,              0.0013481,              0.0013481
                     19,                0.75107,                0.92203,                0.95991,                0.66912,                0.78505,                0.81814,                0.68956,                0.67232,                0.70453,                0.93497,              0.0013433,              0.0013433,              0.0013433
                     20,                0.74643,                0.94419,                 0.9768,                0.62924,                0.87589,                 0.7702,                0.62347,                0.67342,                0.75649,                0.91803,              0.0013386,              0.0013386,              0.0013386
                     21,                0.71255,                0.88085,                0.95799,                0.90884,                0.69487,                0.81702,                 0.6985,                0.71446,                0.72768,                   1.02,              0.0013338,              0.0013338,              0.0013338
                     22,                0.74032,                0.91412,                0.96186,                0.83511,                0.81457,                0.87835,                0.75976,                0.65822,                0.68818,                0.95408,              0.0013291,              0.0013291,              0.0013291
                     23,                0.71393,                0.90364,                0.96715,                0.75264,                0.75451,                0.79428,                0.66737,                0.68617,                0.67151,                0.92399,              0.0013243,              0.0013243,              0.0013243
                     24,                0.69766,                 0.8402,                0.95146,                0.90286,                0.79653,                0.89582,                0.75509,                0.69738,                 0.6752,                0.95305,              0.0013196,              0.0013196,              0.0013196
                     25,                0.70841,                0.85995,                0.96027,                0.82544,                0.87281,                0.90221,                0.72229,                0.69383,                0.71622,                0.95207,              0.0013148,              0.0013148,              0.0013148
                     26,                0.71293,                0.83512,                0.96094,                0.83076,                0.80717,                0.84668,                0.73709,                0.64668,                0.64383,                0.90232,                0.00131,                0.00131,                0.00131
                     27,                0.71574,                0.83277,                0.95968,                0.88069,                0.87543,                0.93516,                0.80012,                0.64544,                0.62577,                0.90677,              0.0013053,              0.0013053,              0.0013053
                     28,                0.68197,                0.81804,                0.94017,                0.82709,                0.89731,                0.92615,                0.80726,                0.61787,                 0.6044,                0.88823,              0.0013005,              0.0013005,              0.0013005
                     29,                0.64524,                0.78361,                 0.9159,                 0.7335,                0.83321,                0.85255,                0.73147,                0.74993,                 0.6529,                 1.0552,              0.0012958,              0.0012958,              0.0012958
                     30,                0.66507,                0.77121,                0.92849,                0.83287,                0.77703,                0.83406,                0.73247,                0.59732,                0.60795,                0.87265,               0.001291,               0.001291,               0.001291
                     31,                0.66718,                0.79992,                0.93917,                0.79274,                0.79907,                0.88747,                0.79364,                0.55537,                0.58009,                0.88844,              0.0012862,              0.0012862,              0.0012862
                     32,                0.67786,                0.79044,                0.94447,                0.70386,                0.82602,                0.83593,                0.72183,                0.80134,                0.63629,                  1.065,              0.0012815,              0.0012815,              0.0012815
                     33,                0.67008,                0.78069,                0.93905,                0.75409,                0.97269,                0.93039,                0.80663,                0.59608,                0.55981,                0.88904,              0.0012767,              0.0012767,              0.0012767
                     34,                0.66446,                0.76293,                0.93501,                0.79039,                0.75723,                0.79305,                0.70247,                0.65618,                0.65593,                0.88509,               0.001272,               0.001272,               0.001272
                     35,                0.64818,                0.75435,                0.93858,                0.67382,                0.86253,                0.79102,                0.69262,                0.57493,                0.61625,                0.87271,              0.0012672,              0.0012672,              0.0012672
                     36,                0.61321,                0.72404,                0.90949,                0.81937,                0.73518,                0.86383,                0.77973,                0.59928,                0.61727,                 0.8766,              0.0012625,              0.0012625,              0.0012625
                     37,                0.63434,                0.72467,                0.93562,                0.74245,                0.81624,                 0.8198,                0.71942,                0.62771,                0.57076,                0.89944,              0.0012577,              0.0012577,              0.0012577
                     38,                0.65883,                0.76996,                0.93914,                0.55403,                0.93676,                0.85022,                0.71958,                0.60323,                0.67207,                  0.877,              0.0012529,              0.0012529,              0.0012529
                     39,                 0.6395,                0.74574,                0.93444,                0.84698,                0.79681,                0.87494,                0.75426,                0.56851,                 0.6155,                0.89093,              0.0012482,              0.0012482,              0.0012482
                     40,                0.59739,                0.70032,                0.91978,                0.95186,                 0.8515,                0.96783,                0.87646,                0.58489,                 0.5063,                0.88494,              0.0012434,              0.0012434,              0.0012434
                     41,                0.61755,                0.69141,                0.92134,                0.78379,                0.95842,                0.90726,                0.78341,                0.60057,                0.58485,                0.88905,              0.0012387,              0.0012387,              0.0012387
                     42,                0.61438,                0.71026,                0.92654,                0.80003,                0.77883,                0.80924,                0.68972,                 0.6578,                0.62848,                0.89433,              0.0012339,              0.0012339,              0.0012339
                     43,                 0.6177,                0.74286,                0.90258,                0.75156,                 0.8237,                0.84546,                0.72766,                0.57194,                0.61488,                0.86195,              0.0012291,              0.0012291,              0.0012291
                     44,                0.61758,                0.69749,                0.91647,                0.90507,                0.80217,                0.82062,                0.73992,                 0.5615,                0.58186,                0.89461,              0.0012244,              0.0012244,              0.0012244
                     45,                0.60784,                0.70949,                0.91133,                0.91991,                 0.9089,                0.95154,                 0.8412,                0.56514,                0.52473,                0.87328,              0.0012196,              0.0012196,              0.0012196
                     46,                0.60423,                0.70646,                0.92408,                0.91409,                0.84708,                0.89913,                0.80187,                0.53963,                0.51905,                0.86645,              0.0012149,              0.0012149,              0.0012149
                     47,                0.60241,                0.69306,                0.91108,                0.84711,                0.84888,                0.89043,                0.73992,                0.63571,                0.58011,                0.88859,              0.0012101,              0.0012101,              0.0012101
                     48,                0.59022,                0.65921,                0.90389,                 0.8237,                0.89247,                0.89151,                0.80557,                0.55577,                0.55533,                0.87349,              0.0012053,              0.0012053,              0.0012053
                     49,                0.61038,                0.66197,                0.91977,                0.88116,                0.81844,                0.91585,                 0.8182,                0.59832,                0.52138,                 0.8647,              0.0012006,              0.0012006,              0.0012006
                     50,                0.61144,                0.70858,                0.92099,                0.88759,                0.84969,                0.88942,                0.79079,                0.57524,                0.55527,                0.86442,              0.0011958,              0.0011958,              0.0011958
                     51,                0.60177,                0.65271,                0.91096,                0.84984,                0.83409,                0.92625,                0.82933,                0.62844,                0.61514,                0.88765,              0.0011911,              0.0011911,              0.0011911
                     52,                0.58113,                0.63839,                0.91038,                0.90465,                0.88771,                0.92753,                0.80633,                0.55708,                0.49208,                0.87126,              0.0011863,              0.0011863,              0.0011863
                     53,                0.60135,                0.66297,                0.94642,                0.79021,                0.83601,                0.80614,                0.70565,                0.53192,                0.51704,                0.86784,              0.0011816,              0.0011816,              0.0011816
                     54,                0.59023,                0.64307,                0.91342,                0.91035,                0.85303,                0.94554,                0.76717,                0.61335,                0.50205,                0.89099,              0.0011768,              0.0011768,              0.0011768
                     55,                0.59447,                0.62537,                 0.9207,                 0.9352,                0.77213,                0.88827,                0.79173,                0.52227,                0.48531,                0.86871,               0.001172,               0.001172,               0.001172
                     56,                0.57302,                0.61582,                0.91441,                0.80248,                0.97565,                0.93776,                0.86299,                0.53052,                0.44853,                0.86377,              0.0011673,              0.0011673,              0.0011673
                     57,                0.58367,                0.69311,                0.92356,                0.76927,                0.94797,                0.90036,                0.80629,                0.57933,                0.53915,                0.86061,              0.0011625,              0.0011625,              0.0011625
                     58,                0.56879,                0.66499,                0.90222,                0.84477,                0.89645,                0.93981,                0.86803,                0.52417,                0.49377,                0.86255,              0.0011578,              0.0011578,              0.0011578
                     59,                 0.5856,                0.65548,                0.92014,                0.94165,                0.84825,                0.95441,                0.88413,                0.58758,                0.46833,                0.86085,               0.001153,               0.001153,               0.001153
                     60,                0.55918,                0.60221,                0.90372,                0.94933,                0.84511,                0.94557,                0.85402,                0.52388,                0.47627,                0.86893,              0.0011482,              0.0011482,              0.0011482
                     61,                0.57005,                0.60165,                0.91181,                 0.9043,                0.85408,                0.94764,                0.87584,                0.54995,                0.49857,                0.85792,              0.0011435,              0.0011435,              0.0011435
                     62,                0.56908,                0.63537,                0.91082,                0.97329,                0.81975,                 0.9402,                0.83247,                0.53237,                  0.472,                0.86637,              0.0011387,              0.0011387,              0.0011387
                     63,                0.56327,                0.61048,                0.90342,                0.85419,                0.86006,                0.91733,                0.81202,                0.56162,                0.47675,                0.87696,               0.001134,               0.001134,               0.001134
                     64,                0.57179,                0.62656,                0.90925,                0.93299,                0.84268,                0.94874,                 0.8123,                0.53722,                  0.491,                0.85066,              0.0011292,              0.0011292,              0.0011292
                     65,                0.55566,                0.60268,                 0.8995,                 0.9358,                0.91286,                0.96304,                0.85938,                0.55273,                0.45518,                0.84475,              0.0011245,              0.0011245,              0.0011245
                     66,                0.59667,                 0.6365,                0.91465,                0.67012,                0.86158,                0.87168,                0.75575,                0.53944,                0.50702,                0.86084,              0.0011197,              0.0011197,              0.0011197
                     67,                0.56402,                0.59884,                0.91041,                0.75698,                0.92867,                0.93137,                0.85781,                0.55138,                0.43837,                0.85174,              0.0011149,              0.0011149,              0.0011149
                     68,                0.54502,                0.58803,                0.90046,                0.87824,                 0.7906,                0.91638,                0.82193,                0.56085,                0.49902,                0.85432,              0.0011102,              0.0011102,              0.0011102
                     69,                0.58195,                0.63105,                0.92796,                0.87958,                0.88067,                0.90856,                0.81907,                0.54678,                0.51856,                0.86155,              0.0011054,              0.0011054,              0.0011054
                     70,                0.53712,                0.58128,                0.89636,                0.92625,                 0.8466,                0.91505,                0.84079,                 0.5364,                0.48706,                0.85277,              0.0011007,              0.0011007,              0.0011007
                     71,                0.53948,                0.58231,                  0.894,                0.96552,                0.84944,                0.93746,                0.84826,                0.49871,                0.42191,                0.83512,              0.0010959,              0.0010959,              0.0010959
                     72,                0.55202,                0.60744,                0.89662,                0.89126,                0.97696,                0.98261,                0.90124,                0.49167,                0.44334,                0.84324,              0.0010911,              0.0010911,              0.0010911
                     73,                0.53533,                0.57709,                0.90026,                0.86757,                0.92549,                0.96932,                0.86323,                0.56875,                0.58875,                0.85079,              0.0010864,              0.0010864,              0.0010864
                     74,                 0.5486,                0.56574,                 0.9002,                0.95582,                0.86158,                0.95309,                0.85344,                  0.494,                0.45504,                0.85026,              0.0010816,              0.0010816,              0.0010816
                     75,                0.54866,                 0.5553,                  0.898,                0.86572,                0.84277,                0.88398,                0.78361,                0.54113,                0.47585,                0.86174,              0.0010769,              0.0010769,              0.0010769
                     76,                0.53858,                 0.5543,                0.89139,                0.90261,                0.83181,                0.91751,                0.82514,                0.56512,                 0.5683,                0.85212,              0.0010721,              0.0010721,              0.0010721
                     77,                0.55591,                0.57707,                0.89881,                0.87983,                 0.8181,                0.92088,                0.85138,                0.50524,                0.50749,                0.84145,              0.0010673,              0.0010673,              0.0010673
                     78,                0.52562,                 0.5605,                0.90716,                0.87798,                 0.8953,                0.90344,                0.84908,                0.51958,                0.41795,                0.85493,              0.0010626,              0.0010626,              0.0010626
                     79,                0.55979,                0.58661,                0.90328,                0.85856,                0.85284,                0.89003,                0.80729,                0.54087,                0.43564,                0.85245,              0.0010578,              0.0010578,              0.0010578
                     80,                0.52248,                0.52337,                0.88357,                0.92643,                0.85327,                0.93794,                0.85797,                0.51326,                0.50528,                0.84478,              0.0010531,              0.0010531,              0.0010531
                     81,                0.55161,                0.57341,                0.89699,                 0.7947,                  0.877,                0.92509,                0.84359,                0.50937,                0.74093,                0.83478,              0.0010483,              0.0010483,              0.0010483
                     82,                0.52382,                0.54203,                0.88702,                0.88954,                0.81029,                0.93119,                0.85837,                0.47143,                0.44711,                 0.8388,              0.0010436,              0.0010436,              0.0010436
                     83,                0.51044,                0.51624,                0.88193,                0.96033,                0.84708,                0.93246,                0.87473,                 0.5141,                0.45046,                0.83868,              0.0010388,              0.0010388,              0.0010388
                     84,                0.51558,                0.52948,                0.88838,                 0.8811,                0.91761,                0.95093,                0.87983,                0.53505,                0.48324,                0.84897,               0.001034,               0.001034,               0.001034
                     85,                0.50195,                0.51667,                0.89103,                0.96948,                0.85114,                0.95086,                0.87972,                0.46487,                0.43568,                0.82617,              0.0010293,              0.0010293,              0.0010293
                     86,                0.50469,                0.51909,                0.88922,                0.94953,                0.84367,                0.93301,                0.87052,                0.46919,                0.43519,                0.83913,              0.0010245,              0.0010245,              0.0010245
                     87,                0.51083,                0.51746,                0.89953,                0.86748,                0.83259,                0.89691,                0.82229,                0.49677,                0.43355,                0.84617,              0.0010198,              0.0010198,              0.0010198
                     88,                0.49374,                0.53022,                0.88344,                0.81139,                0.98718,                0.94587,                0.84848,                0.48816,                0.40937,                0.84585,               0.001015,               0.001015,               0.001015
                     89,                0.51302,                0.55395,                0.89332,                0.78622,                0.92249,                0.89496,                0.81437,                0.50611,                0.47241,                0.84001,              0.0010102,              0.0010102,              0.0010102
                     90,                0.52767,                0.55826,                0.88781,                0.80953,                0.96178,                0.91905,                 0.8536,                0.51461,                0.44595,                0.84217,              0.0010055,              0.0010055,              0.0010055
                     91,                 0.4812,                0.54304,                0.87723,                0.96603,                 0.8573,                0.94101,                0.86703,                0.50906,                0.41312,                0.83944,              0.0010007,              0.0010007,              0.0010007
                     92,                0.50934,                0.53802,                0.88552,                0.95634,                 0.9228,                0.95595,                0.86671,                0.49325,                0.39972,                  0.841,             0.00099597,             0.00099597,             0.00099597
                     93,                0.51389,                0.53356,                0.89299,                0.95761,                 0.9359,                0.96118,                0.88827,                0.50748,                0.40752,                0.84108,             0.00099121,             0.00099121,             0.00099121
                     94,                0.50159,                0.50491,                0.88434,                0.86092,                 0.8502,                0.91907,                0.82363,                0.50397,                0.43411,                0.84182,             0.00098645,             0.00098645,             0.00098645
                     95,                0.50845,                0.52112,                0.88654,                0.80808,                0.91189,                0.91715,                0.85083,                0.49998,                 0.3991,                0.83704,             0.00098169,             0.00098169,             0.00098169
                     96,                0.49599,                0.50692,                0.88291,                0.86655,                0.85421,                0.91086,                0.84847,                0.49841,                0.41931,                0.83585,             0.00097694,             0.00097694,             0.00097694
                     97,                0.47859,                0.48047,                0.88238,                0.87313,                0.83083,                0.89475,                0.82937,                0.46742,                0.41637,                0.83685,             0.00097218,             0.00097218,             0.00097218
                     98,                0.50666,                0.51819,                0.88258,                0.97929,                0.82111,                0.93762,                0.83413,                 0.5696,                0.40229,                0.85076,             0.00096742,             0.00096742,             0.00096742
                     99,                0.51163,                0.52034,                0.88326,                0.88888,                0.91458,                 0.9568,                0.84163,                0.52954,                0.38344,                0.86678,             0.00096266,             0.00096266,             0.00096266
                    100,                0.49164,                0.50767,                0.88146,                0.85201,                0.77727,                0.86624,                0.77846,                0.49249,                0.44881,                0.84361,              0.0009579,              0.0009579,              0.0009579
                    101,                0.48608,                0.52608,                0.88074,                0.83994,                0.92574,                0.93705,                0.84276,                0.52545,                0.39862,                0.84239,             0.00095314,             0.00095314,             0.00095314
                    102,                0.49033,                0.50428,                0.87761,                0.91311,                0.75713,                0.86244,                0.79415,                 0.5121,                0.45736,                0.84236,             0.00094838,             0.00094838,             0.00094838
                    103,                0.47785,                0.49462,                0.88306,                0.78249,                  0.873,                0.88407,                 0.7902,                 0.5375,                0.43908,                0.84306,             0.00094363,             0.00094363,             0.00094363
                    104,                0.48512,                0.51037,                0.87327,                 0.8356,                0.97436,                 0.9418,                0.85986,                0.48975,                0.42971,                0.83526,             0.00093887,             0.00093887,             0.00093887
                    105,                0.46867,                0.53741,                0.88105,                 0.8458,                0.95707,                0.96978,                 0.8826,                0.54375,                0.39886,                0.85608,             0.00093411,             0.00093411,             0.00093411
                    106,                0.48519,                0.51632,                0.88636,                0.88082,                0.95213,                0.96153,                0.87266,                 0.4592,                0.38184,                0.83571,             0.00092935,             0.00092935,             0.00092935
                    107,                0.48988,                0.50181,                0.88175,                 0.7957,                0.92574,                0.94544,                0.86679,                0.46908,                0.39931,                0.83782,             0.00092459,             0.00092459,             0.00092459
                    108,                0.48502,                0.50637,                0.87097,                0.84912,                0.96954,                0.96559,                0.90302,                0.48614,                0.38442,                0.83456,             0.00091983,             0.00091983,             0.00091983
                    109,                0.47477,                0.49786,                0.87502,                 0.8757,                0.91407,                0.95394,                 0.8893,                0.48192,                0.42015,                0.83592,             0.00091507,             0.00091507,             0.00091507
                    110,                0.48976,                0.50638,                 0.8796,                0.69287,                 0.9104,                0.84723,                0.79747,                0.46943,                0.49443,                 0.8281,             0.00091032,             0.00091032,             0.00091032
                    111,                0.50147,                0.52186,                0.89133,                0.77971,                0.90691,                0.87646,                0.81478,                0.49585,                0.43172,                0.83855,             0.00090556,             0.00090556,             0.00090556
                    112,                 0.4649,                0.51721,                0.87858,                0.85178,                 0.9068,                0.92309,                0.85455,                0.47849,                0.41272,                0.83305,              0.0009008,              0.0009008,              0.0009008
                    113,                0.45995,                0.46742,                0.87535,                0.87536,                0.90707,                0.93256,                0.87532,                0.46226,                0.38251,                0.83123,             0.00089604,             0.00089604,             0.00089604
                    114,                0.46136,                0.47571,                0.87268,                0.93489,                 0.8476,                0.94206,                0.88834,                0.47833,                0.39823,                0.82922,             0.00089128,             0.00089128,             0.00089128
                    115,                0.48401,                0.50538,                 0.8915,                0.86913,                0.89916,                0.92931,                0.85197,                0.49746,                0.43348,                0.83629,             0.00088652,             0.00088652,             0.00088652
                    116,                0.46907,                 0.4882,                0.88232,                 0.9337,                0.83546,                0.89515,                0.84711,                0.47317,                0.41644,                 0.8344,             0.00088176,             0.00088176,             0.00088176
                    117,                0.46646,                0.48902,                0.87381,                0.91141,                0.79667,                0.87443,                0.81992,                0.48793,                0.42417,                 0.8316,             0.00087701,             0.00087701,             0.00087701
                    118,                 0.4811,                 0.4834,                0.88178,                0.84237,                 0.9134,                  0.921,                0.84414,                0.46517,                0.39192,                0.83148,             0.00087225,             0.00087225,             0.00087225
                    119,                0.48075,                0.49822,                0.88171,                0.88611,                0.89711,                0.94185,                 0.8804,                0.45916,                0.39062,                0.81853,             0.00086749,             0.00086749,             0.00086749
                    120,                0.47853,                0.48693,                 0.8852,                0.81274,                0.91435,                0.93109,                 0.8628,                0.52308,                0.43847,                0.82956,             0.00086273,             0.00086273,             0.00086273
                    121,                0.46837,                0.48549,                0.88528,                0.84375,                0.90217,                0.92839,                0.83387,                0.53058,                0.44332,                0.83545,             0.00085797,             0.00085797,             0.00085797
                    122,                0.47612,                0.46734,                0.87246,                0.82685,                0.90758,                0.93882,                 0.8649,                0.50715,                0.40996,                0.82981,             0.00085321,             0.00085321,             0.00085321
                    123,                0.47876,                0.46929,                0.88645,                0.90172,                0.97696,                0.97163,                0.88794,                0.46208,                0.37761,                0.82371,             0.00084845,             0.00084845,             0.00084845
                    124,                0.43797,                0.45289,                0.87459,                0.91172,                0.78585,                0.90363,                0.83344,                0.47982,                 0.4144,                0.82528,              0.0008437,              0.0008437,              0.0008437
                    125,                0.46742,                0.48957,                0.87884,                0.87839,                0.82404,                 0.8841,                0.80771,                0.50169,                0.43033,                0.84259,             0.00083894,             0.00083894,             0.00083894
                    126,                0.45719,                 0.4598,                0.86366,                0.89591,                 0.8667,                 0.9111,                0.84178,                0.46705,                0.54293,                0.83271,             0.00083418,             0.00083418,             0.00083418
                    127,                 0.4569,                0.46033,                0.88443,                0.88334,                 0.8236,                0.90616,                0.81201,                 0.4851,                0.39576,                0.83587,             0.00082942,             0.00082942,             0.00082942
                    128,                0.45568,                0.45481,                0.87312,                0.83615,                0.82839,                 0.8771,                0.80928,                0.46329,                0.44705,                0.83174,             0.00082466,             0.00082466,             0.00082466
                    129,                0.46078,                0.47036,                0.88067,                0.96299,                0.90085,                0.94742,                0.88362,                0.47383,                0.38596,                 0.8321,              0.0008199,              0.0008199,              0.0008199
                    130,                0.45226,                0.45495,                 0.8754,                0.96541,                0.84708,                0.90867,                0.83797,                0.50181,                0.41188,                0.84497,             0.00081514,             0.00081514,             0.00081514
                    131,                0.43374,                0.45631,                 0.8682,                0.93913,                0.84399,                0.94314,                0.86144,                 0.4775,                0.44506,                 0.8291,             0.00081039,             0.00081039,             0.00081039
                    132,                0.46306,                0.45837,                0.88103,                0.95407,                0.84745,                0.94266,                0.85903,                0.48364,                0.37837,                0.82839,             0.00080563,             0.00080563,             0.00080563
                    133,                0.45373,                0.44925,                0.86576,                0.96195,                0.84281,                0.93516,                0.84349,                0.45083,                0.36965,                0.84366,             0.00080087,             0.00080087,             0.00080087
                    134,                0.44575,                0.48085,                0.86349,                0.94026,                0.83849,                0.93053,                0.83811,                0.46589,                0.44321,                0.83435,             0.00079611,             0.00079611,             0.00079611
                    135,                0.45462,                 0.4555,                0.87446,                0.89489,                0.87389,                0.95682,                0.88739,                0.42845,                0.38772,                0.81877,             0.00079135,             0.00079135,             0.00079135
                    136,                0.43812,                0.45529,                0.87529,                0.91901,                0.86849,                0.93913,                0.87084,                 0.4362,                0.35705,                0.82266,             0.00078659,             0.00078659,             0.00078659
                    137,                 0.4264,                0.43432,                0.86332,                 0.9099,                0.91042,                0.95783,                0.91983,                0.42144,                0.35177,                 0.8205,             0.00078183,             0.00078183,             0.00078183
                    138,                0.44048,                0.44431,                0.87083,                0.93595,                0.85654,                0.92138,                0.86541,                0.46234,                0.36666,                0.83218,             0.00077708,             0.00077708,             0.00077708
                    139,                0.43708,                0.42977,                0.86652,                0.93203,                 0.8638,                0.93062,                0.88584,                0.47012,                0.39387,                0.81886,             0.00077232,             0.00077232,             0.00077232
                    140,                0.44976,                0.47532,                0.85988,                0.91557,                0.85327,                0.91548,                0.86945,                0.46222,                0.38564,                0.81949,             0.00076756,             0.00076756,             0.00076756
                    141,                0.43753,                0.44684,                0.87325,                0.96465,                0.83101,                0.95234,                0.89491,                0.46117,                 0.3607,                0.82481,              0.0007628,              0.0007628,              0.0007628
                    142,                0.44588,                0.44588,                0.87685,                 0.8674,                0.92623,                0.96008,                 0.8913,                0.47203,                0.37732,                0.82568,             0.00075804,             0.00075804,             0.00075804
                    143,                0.44135,                0.44189,                0.86553,                0.90963,                0.84237,                0.95881,                 0.8892,                0.46922,                 0.4595,                0.82603,             0.00075328,             0.00075328,             0.00075328
                    144,                0.42399,                0.43844,                0.86251,                0.90472,                0.98077,                0.97954,                0.89949,                0.45376,                0.36075,                0.82484,             0.00074852,             0.00074852,             0.00074852
                    145,                0.42113,                0.43021,                0.86906,                0.88715,                0.86833,                0.93043,                 0.8584,                0.43335,                0.48562,                0.82056,             0.00074377,             0.00074377,             0.00074377
                    146,                0.43297,                0.46552,                0.86907,                 0.9156,                0.90077,                0.92434,                0.85834,                0.44928,                0.39617,                0.83589,             0.00073901,             0.00073901,             0.00073901
                    147,                0.41055,                0.45351,                0.86402,                0.96009,                0.83876,                0.94287,                0.88648,                0.43495,                0.36432,                0.81548,             0.00073425,             0.00073425,             0.00073425
                    148,                0.43241,                0.44367,                0.86187,                0.97543,                0.85939,                0.93612,                0.87895,                0.46285,                0.37476,                0.82539,             0.00072949,             0.00072949,             0.00072949
                    149,                0.42249,                0.45217,                0.86522,                0.93959,                0.83712,                0.94025,                0.89377,                0.44572,                0.34101,                0.82254,             0.00072473,             0.00072473,             0.00072473
                    150,                0.41756,                0.42423,                0.86458,                0.91779,                 0.8388,                0.92726,                0.85893,                0.49438,                 0.3862,                0.82432,             0.00071997,             0.00071997,             0.00071997
                    151,                0.44312,                0.43978,                0.87056,                 0.9089,                0.78298,                0.90473,                0.83867,                0.46367,                0.37176,                0.82501,             0.00071521,             0.00071521,             0.00071521
                    152,                0.43169,                0.45016,                0.87837,                0.89732,                0.77443,                0.85228,                0.78956,                0.48495,                0.44048,                0.82935,             0.00071046,             0.00071046,             0.00071046
                    153,                0.42706,                0.43258,                0.86602,                0.84937,                0.85375,                0.91805,                0.85692,                0.45984,                0.40136,                0.82769,              0.0007057,              0.0007057,              0.0007057
                    154,                0.44539,                0.43762,                0.86249,                 0.9403,                0.84251,                0.92214,                0.85919,                0.47903,                0.36713,                0.82476,             0.00070094,             0.00070094,             0.00070094
                    155,                0.40828,                0.41299,                0.86617,                0.95097,                0.84809,                 0.9238,                0.87998,                0.46623,                0.41233,                0.82389,             0.00069618,             0.00069618,             0.00069618
                    156,                0.44678,                0.44552,                0.86517,                0.85146,                0.93162,                0.94016,                0.89072,                0.43458,                0.37131,                0.81937,             0.00069142,             0.00069142,             0.00069142
                    157,                0.43199,                 0.4365,                0.86945,                  0.951,                0.83961,                0.93448,                0.88774,                0.43635,                 0.3639,                0.81268,             0.00068666,             0.00068666,             0.00068666
